epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,51117.8,0.87378,0.72028,1.19786,0.82346,0.7527,0.82317,0.6119,0.97753,0.76485,1.24594,0.00109,0.00109,0.00109
92,51423.2,0.8598,0.69063,1.19331,0.82275,0.77015,0.82883,0.61348,0.98582,0.78247,1.25237,0.000991,0.000991,0.000991
93,51728,0.84332,0.68052,1.17942,0.78788,0.78866,0.83138,0.6211,0.97762,0.75928,1.25162,0.000892,0.000892,0.000892
94,52032.7,0.8213,0.65897,1.17231,0.84014,0.76062,0.83397,0.62228,0.97071,0.74705,1.24666,0.000793,0.000793,0.000793
95,52336.8,0.80729,0.63238,1.15983,0.82355,0.77804,0.83961,0.63123,0.95865,0.73406,1.24285,0.000694,0.000694,0.000694
96,52640.2,0.80367,0.62591,1.16203,0.87404,0.75036,0.84016,0.63309,0.95433,0.73207,1.23809,0.000595,0.000595,0.000595
97,52944.3,0.80114,0.61747,1.15469,0.83108,0.77921,0.84129,0.63536,0.95749,0.73092,1.24096,0.000496,0.000496,0.000496
98,53253.1,0.78976,0.61329,1.14499,0.85984,0.76328,0.84123,0.63702,0.94708,0.72413,1.23082,0.000397,0.000397,0.000397
99,53557.5,0.78567,0.61243,1.14659,0.83666,0.77864,0.84285,0.64116,0.94976,0.71617,1.23175,0.000298,0.000298,0.000298
100,53864.5,0.77793,0.60097,1.14095,0.85527,0.76752,0.84151,0.63876,0.94073,0.71177,1.22978,0.000199,0.000199,0.000199
